"","R15-002","R15-006","R15-007","R15-009","R15-010.1","R15-010.2","R16-003-03","R16-004-01.1","R16-005-01","R16-006-01","R17-001-02","R17-002-02","R17-002-03","R17-003-01","R17-004-01","R17-004-03","R17-005-01","R17-007-03","R17-008-02","R18-002-01.1","R18-002-01.2","R18-003-02","R18-003-03","R18-004-02","R18-004-03","R18-005-03","R18-006-01","R18-006-03","R18-007-02","R18-007-03","R18-008-01","R18-009-02.1","R18-009-02.2","R18-010-01","R18-010-02","R18-010-03","R18-013-01","R18-014-01","R18-015-01","R18-017-01","R18-018-02","R18-019-01","R18-019-02.1","R18-019-02.2","R18-020-01","R18-022-03","R18-023-03","R18-024-01","R18-024-02"
"R15-002",NA,0.902941176470588,0.903403403403403,0.883077330508475,0.91257547912838,0.909882232462878,0.935653650254669,0.916839647119875,0.904874835309618,0.897487947221517,0.905865102639296,0.911139455782313,0.870018721583311,0.964449541284404,0.923004102240454,0.904846659364732,0.902014652014652,0.914663786119363,0.849574014909478,0.834702258726899,0.826042202779207,0.824745108845412,0.825720847154886,0.825140091696383,0.802631578947368,0.830341340075853,0.83155792276964,0.839266155531216,0.820766692053821,0.843651626442812,0.827990301724138,0.813228061092415,0.824143468950749,0.821540062434964,0.830098378090933,0.830178619034924,0.825232113599126,0.826882569773565,0.844021739130435,0.810768351899457,0.82386507735227,0.824259306153457,0.810504774897681,0.820283270978087,0.816426434593419,0.806078919303235,0.833159132479749,0.82606993736952,0.813911704312115
"R15-006",NA,NA,0.993058938139308,0.877077288314429,0.926753246753247,0.974759005580923,0.928642714570858,0.928516129032258,0.89359477124183,0.890993477170095,0.903230458609749,0.901517280134869,0.862833025586916,0.987527512839325,0.900976070528967,0.900651465798046,0.896827443899923,0.905915417558886,0.843618697478992,0.820177664974619,0.81873883073781,0.823899371069182,0.80550644102046,0.809979838709677,0.788779317697228,0.877155711072232,0.820215846275336,0.825939951311874,0.809015570065294,0.829955832683814,0.822623473181094,0.787084398976982,0.813014608233732,0.805655526992288,0.815699658703072,0.820806962025316,0.810032449972958,0.812825860271116,0.832130446404705,0.79368450863778,0.811905952976488,0.805256570713392,0.799429657794677,0.804565848508841,0.808513513513514,0.783669141039236,0.821548387096774,0.820526044352759,0.804309252217997
"R15-007",NA,NA,NA,0.877382792375064,0.923224814150218,0.983382936507937,0.931000654022237,0.927994955863808,0.895775006362942,0.892699657030867,0.908641626659136,0.904302261445119,0.863472436888202,0.99436568520538,0.902469135802469,0.90390230953013,0.898260211800303,0.909043387349712,0.846757591353577,0.818396226415094,0.815697529323684,0.819726980728051,0.804347826086957,0.809418145956608,0.785117493472585,0.87960927960928,0.81953044375645,0.823785638859556,0.807635649398478,0.832444782939832,0.82024523871641,0.786304456685028,0.811819595645412,0.803022670025189,0.814829092778206,0.819648851019881,0.808586525759577,0.811017597551645,0.828567681007345,0.791286307053942,0.810906862745098,0.803816046966732,0.795942720763723,0.803977272727273,0.806659647275599,0.780668504479669,0.819984840828701,0.819969742813918,0.801956898687144
"R15-009",NA,NA,NA,NA,0.897767492512932,0.893919452487497,0.939570119802678,0.900161030595813,0.908143939393939,0.899895995839834,0.918894562931811,0.918560606060606,0.871166484118291,0.937128123760413,0.924118798955614,0.91371557054525,0.902781492377641,0.906763150570554,0.855295398856521,0.833815028901734,0.837509891849116,0.832158962795941,0.824882383690538,0.830203442879499,0.88785046728972,0.811930190153686,0.843979342212558,0.839854667411962,0.826482830385016,0.850607287449393,0.836734693877551,0.814932486100079,0.831643835616438,0.818861875500935,0.827069716775599,0.835975943138327,0.826524902070509,0.826907522243192,0.842332312830504,0.815881836794384,0.827864583333333,0.81933644375324,0.818676716917923,0.827473426001635,0.828360290016732,0.811348030357788,0.841767068273092,0.844560278000535,0.896461336828309
"R15-010.1",NA,NA,NA,NA,NA,0.919270149645576,0.941398217957505,0.929383760909812,0.922159699892819,0.917678986818299,0.921216617210682,0.921304347826087,0.881212452211906,0.965831435079727,0.922615184944841,0.920619419642857,0.91956003180493,0.948636739190306,0.868199129488575,0.845017002354172,0.834078359190113,0.836723163841808,0.85732882061963,0.829265125941314,0.808305830583058,0.838943552563439,0.838555858310627,0.906337241764377,0.868801652892562,0.86944295661489,0.845267489711934,0.813175230566535,0.835385878489327,0.82953642384106,0.841933731667572,0.844286883010635,0.83133704735376,0.895671920919049,0.859137406690628,0.855961705831157,0.832211289487312,0.826541140056745,0.855790645879733,0.833378820960699,0.833936022253129,0.811070780399274,0.847088675213675,0.839888386925326,0.824306645735217
"R15-010.2",NA,NA,NA,NA,NA,NA,0.941953830712613,0.927851047323507,0.906266318537859,0.902868646200302,0.922273781902552,0.924592009003939,0.876356897008208,0.977205337286879,0.925401322001889,0.91499185225421,0.911093831000518,0.92172395273899,0.859008177261936,0.831380539989812,0.831498079385403,0.828013208585581,0.819782168186423,0.824911571500758,0.797724230254351,0.886946680080483,0.829223017767171,0.836950623982637,0.81859410430839,0.84588327253778,0.831196581196581,0.802621434078643,0.826522435897436,0.819096774193548,0.825955204216074,0.83183023872679,0.821612815639424,0.822260005231494,0.840462738767824,0.8049786628734,0.824446680080483,0.818649598393574,0.808290155440414,0.815084835630965,0.818218514531755,0.799146818343406,0.83484691229891,0.835144927536232,0.812484108822782
"R16-003-03",NA,NA,NA,NA,NA,NA,NA,0.944973718791064,0.950734802939212,0.94655737704918,0.950909715070374,0.952089704383282,0.905843013023583,0.959306853582555,0.946793002915452,0.952077747989276,0.954409814323607,0.945950525245679,0.880397532556546,0.850731382978723,0.847760695187166,0.843483104344597,0.838347107438017,0.842131309798746,0.820176991150443,0.845261437908497,0.845296167247387,0.859256586070011,0.837367374005305,0.877582644628099,0.848027017419125,0.827193569993302,0.837605337078652,0.842140921409214,0.8521421107628,0.846086956521739,0.840645395213923,0.840330350997935,0.864022662889518,0.825200152497141,0.842468001312767,0.840261865793781,0.824377930039668,0.841663753932192,0.839905933429812,0.817110655737705,0.862277460530736,0.848821548821549,0.834279038718291
"R16-004-01.1",NA,NA,NA,NA,NA,NA,NA,NA,0.923390275952694,0.917575450164849,0.933101650738488,0.92363840539023,0.880939597315436,0.97734746072342,0.924773224898342,0.927603036876356,0.922518787250583,0.929817498658078,0.869553666312434,0.839958963836881,0.834923910239876,0.836482356210058,0.827277379733879,0.835251982604247,0.808640303358613,0.841070522577372,0.842624699919979,0.848767123287671,0.830575356415479,0.859683794466403,0.852232746955345,0.81850025947068,0.835625674217907,0.827721221613156,0.837632978723404,0.843323521541343,0.829728989871339,0.83276225619399,0.857142857142857,0.813900057438254,0.831430745814307,0.827922901344154,0.817196928140428,0.832039614561028,0.833787837469321,0.806115107913669,0.846264367816092,0.837950862519603,0.822630362188544
"R16-005-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983940313606474,0.941347270615563,0.935429056924384,0.885094850948509,0.954359165424739,0.969512195121951,0.931936455765544,0.929356357927786,0.93347755543537,0.875738850080602,0.853300415800416,0.839780449555672,0.834929577464789,0.834022750775595,0.841466563387555,0.816114003836668,0.81948717948718,0.844450445584661,0.861141906873614,0.839124839124839,0.869981387928742,0.851325498770156,0.827139492279508,0.832380952380952,0.830736730921574,0.851235230934479,0.852137445887446,0.841331484049931,0.842674139311449,0.863973619126134,0.824273255813953,0.844199178644764,0.839221710189452,0.830133555926544,0.842091007583965,0.839004149377593,0.817073170731707,0.851905770248809,0.843386243386243,0.829265125941314
"R16-006-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935835694050992,0.92617728531856,0.878508316008316,0.953015168331484,0.968873970094599,0.925560298826041,0.924158014687263,0.924639580602883,0.870054305663305,0.843710927731933,0.834713855421687,0.828759752488566,0.826421653836603,0.832052553296976,0.809718198577825,0.81601678183613,0.835716142448661,0.856763220834441,0.830816831683168,0.862634546386469,0.845941686367218,0.819258885807915,0.829364040827009,0.825551890383151,0.847078593588418,0.845182291666667,0.8356,0.839881869542886,0.860036832412523,0.821667596207474,0.837074494326591,0.836004932182491,0.823144687666845,0.833680917622523,0.833554025423729,0.807558342041101,0.845322826639553,0.839149261334692,0.821946946946947
