"","R15-002","R15-006","R15-007","R15-008","R15-009","R15-010(1)","R15-010(2)","R16-003-03","R16-004-01(1)","R16-005-01","R16-006-01","R17-001-02","R17-002-01","R17-002-02","R17-002-03","R17-003-01","R17-004-01","R17-004-03","R17-005-01","R17-007-03","R17-008-02","R18-002-01(1)","R18-002-01(2)","R18-003-02","R18-003-03","R18-004-02","R18-004-03","R18-005-03","R18-006-01","R18-006-03","R18-007-02","R18-007-03","R18-008-01","R18-009-02(1)","R18-009-02(2)","R18-010-01","R18-010-02","R18-010-03","R18-013-01","R18-014-01","R18-015-01","R18-017-01","R18-018-02","R18-019-01","R18-019-02(1)","R18-019-02(2)","R18-020-01","R18-022-03","R18-023-03","R18-024-01","R18-024-02","R18-027-03","R20-002","R20-003","R20-027","R20-027(S)","R20-047","Stem_Canker_2"
"R15-002",NA,0.920539730134933,0.917851500789889,0.926883308714919,0.914166666666667,0.935146443514644,0.919098143236074,0.890392422192152,0.911300919842313,0.89671052631579,0.902102496714849,0.896276595744681,0.895640686922061,0.907894736842105,0.85538752362949,0.876021798365123,0.902013422818792,0.886666666666667,0.896981627296588,0.886519944979367,0.899214659685864,0.871794871794872,0.888275862068965,0.899705014749263,0.891361256544503,0.901333333333333,0.895173453996983,0.869477911646586,0.897250361794501,0.900918635170604,0.887483355525965,0.870810055865922,0.869692532942899,0.894453004622496,0.869969040247678,0.889985895627645,0.903899721448468,0.87757909215956,0.871191135734072,0.892053973013493,0.867724867724868,0.894176136363636,0.880536912751678,0.882853403141361,0.889845094664372,0.884858044164038,0.878048780487805,0.851851851851852,0.897622192866579,0.867043847241867,0.889592123769339,0.883202099737533,0.823846153846154,0.829093799682035,0.794007490636704,0.794166666666667,0.853571428571429,0.845288326300984
"R15-006",NA,NA,0.924764890282132,0.9375,0.919435215946844,0.926940639269406,0.920679886685552,0.902616279069767,0.916197183098592,0.905500705218618,0.901685393258427,0.906695156695157,0.903818953323904,0.908898305084746,0.83984375,0.891618497109827,0.900576368876081,0.901428571428571,0.909985935302391,0.905346820809249,0.904628330995792,0.883720930232558,0.900584795321637,0.910174880763116,0.905329593267882,0.906116642958748,0.883870967741936,0.881428571428571,0.902325581395349,0.915492957746479,0.886819484240688,0.898093841642229,0.887692307692308,0.900793650793651,0.883870967741936,0.907914764079148,0.910104011887073,0.888888888888889,0.879727685325265,0.892913385826772,0.880141843971631,0.894171779141104,0.890489913544669,0.905329593267882,0.902214022140221,0.889067524115756,0.878205128205128,0.846855983772819,0.89645390070922,0.878398791540785,0.913818722139673,0.909985935302391,0.836585365853659,0.840947546531303,0.813609467455621,0.803350970017637,0.859447004608295,0.864599092284418
"R15-007",NA,NA,NA,0.940032414910859,0.935833333333333,0.932,0.93952802359882,0.907012195121951,0.932153392330384,0.925295857988166,0.92120765832106,0.914179104477612,0.92120765832106,0.916911764705882,0.850806451612903,0.905873493975904,0.903787878787879,0.915178571428571,0.924778761061947,0.917043740573152,0.923245614035088,0.891891891891892,0.905120481927711,0.911666666666667,0.906432748538012,0.902777777777778,0.904965753424658,0.87874251497006,0.905405405405405,0.912884333821376,0.890718562874252,0.890337423312883,0.899505766062603,0.912621359223301,0.872186495176849,0.912974683544304,0.914503816793893,0.895672333848532,0.88810641627543,0.896666666666667,0.886094674556213,0.887459807073955,0.892857142857143,0.904239766081871,0.913003663003663,0.890599675850891,0.882890365448505,0.841004184100418,0.911808669656203,0.884136858475894,0.923930269413629,0.909824046920821,0.856666666666667,0.835387323943662,0.833996023856859,0.814678899082569,0.881977671451356,0.870866141732283
"R15-008",NA,NA,NA,NA,0.948695652173913,0.937972768532526,0.918938307030129,0.892273402674591,0.909871244635193,0.894699140401146,0.905,0.895231213872832,0.901011560693642,0.915351506456241,0.852140077821012,0.887240356083086,0.904831625183016,0.896802325581395,0.905270655270655,0.89344262295082,0.904558404558405,0.884671532846715,0.905405405405405,0.914285714285714,0.898148148148148,0.896974063400576,0.898042414355628,0.872434017595308,0.919656786271451,0.909285714285714,0.888646288209607,0.873123123123123,0.880503144654088,0.906451612903226,0.887903225806452,0.903669724770642,0.915545590433483,0.883982035928144,0.878358208955224,0.890302066772655,0.876623376623377,0.888544891640867,0.882096069868996,0.903846153846154,0.911607142857143,0.891376451077944,0.879478827361563,0.851,0.907194244604317,0.873292867981791,0.909298780487805,0.895714285714286,0.840871021775544,0.827160493827161,0.815463917525773,0.789279112754159,0.859276729559748,0.853620955315871
"R15-009",NA,NA,NA,NA,NA,0.938356164383562,0.92879746835443,0.888797364085667,0.916798732171157,0.905405405405405,0.915348101265823,0.88610662358643,0.914808917197452,0.92368839427663,0.846723044397463,0.88780487804878,0.900981996726678,0.904186795491143,0.905705229793978,0.887888707037643,0.906793048973144,0.890145395799677,0.905254777070064,0.901581722319859,0.902843601895735,0.904153354632588,0.905693950177936,0.881028938906752,0.916256157635468,0.914556962025316,0.886762360446571,0.881535947712418,0.88336192109777,0.921901528013582,0.885593220338983,0.909628378378378,0.933554817275748,0.877685950413223,0.877295492487479,0.884955752212389,0.876,0.895408163265306,0.886473429951691,0.900473933649289,0.908829174664108,0.890784982935154,0.883944153577661,0.834763948497854,0.903044871794872,0.873333333333333,0.91304347826087,0.910459587955626,0.843636363636364,0.835551330798479,0.821192052980132,0.800990099009901,0.853700516351119,0.852891156462585
"R15-010(1)",NA,NA,NA,NA,NA,NA,0.925876010781671,0.890161725067385,0.905104712041885,0.898039215686275,0.906735751295337,0.906824146981627,0.901564537157758,0.909090909090909,0.835793357933579,0.873994638069705,0.904227212681638,0.896461336828309,0.89741935483871,0.891034482758621,0.909677419354839,0.882470119521912,0.889192886456908,0.895196506550218,0.887096774193548,0.888157894736842,0.891337386018237,0.865079365079365,0.902635431918009,0.908678756476684,0.880856760374833,0.877464788732394,0.865853658536585,0.899546827794562,0.878086419753086,0.894846796657382,0.90958904109589,0.882195448460509,0.868563685636856,0.885125184094256,0.872229465449804,0.877793296089385,0.872200263504611,0.894193548387097,0.885642737896494,0.892913385826772,0.870870870870871,0.83364312267658,0.896373056994819,0.857043235704324,0.893732970027248,0.893272962483829,0.828506097560976,0.824367088607595,0.818352059925094,0.789735099337748,0.847124824684432,0.848821081830791
"R15-010(2)",NA,NA,NA,NA,NA,NA,NA,0.892193308550186,0.913484486873508,0.910991636798088,0.909199522102748,0.908543922984356,0.919760479041916,0.914880952380952,0.857397504456328,0.89321608040201,0.904466501240695,0.922007255139057,0.910011918951132,0.912688442211055,0.923900118906064,0.896088019559902,0.873283395755306,0.876038781163435,0.902366863905325,0.897094430992736,0.886039886039886,0.886861313868613,0.880566801619433,0.896080760095012,0.885696821515892,0.890102827763496,0.896739130434783,0.892405063291139,0.87624466571835,0.889774236387782,0.904214559386973,0.873248407643312,0.87578814627995,0.89521800281294,0.889354066985646,0.878112712975098,0.885783718104496,0.883431952662722,0.881685575364668,0.897546897546898,0.881983240223464,0.849721706864564,0.881530984204131,0.884020618556701,0.898684210526316,0.898576512455516,0.827800829875519,0.815,0.813223140495868,0.79985119047619,0.850322580645161,0.846301020408163
"R16-003-03",NA,NA,NA,NA,NA,NA,NA,NA,0.913372093023256,0.910138248847926,0.922453703703704,0.90661252900232,0.890625,0.898601398601399,0.858391608391608,0.89940119760479,0.911338962605549,0.89677047289504,0.913573085846868,0.894512195121951,0.899538106235566,0.888366627497062,0.867197062423501,0.875,0.878456221198157,0.872931442080378,0.880851063829787,0.874705882352941,0.865026595744681,0.881199538638985,0.865107913669065,0.870393900889454,0.883006535947712,0.865598885793872,0.862745098039216,0.880577427821522,0.882022471910112,0.879825653798257,0.865408038976857,0.878561736770692,0.8770207852194,0.867912371134021,0.870327102803738,0.881336405529954,0.866830065359477,0.878723404255319,0.867832167832168,0.852941176470588,0.886658795749705,0.868781094527363,0.87741935483871,0.887672811059908,0.849664429530201,0.826330532212885,0.818108974358974,0.809182209469154,0.852977667493797,0.863803680981595
"R16-004-01(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935340022296544,0.93359375,0.917600896860987,0.911534154535274,0.905756207674944,0.849315068493151,0.910798122065728,0.910211267605634,0.912260967379078,0.934004474272931,0.907142857142857,0.909444444444444,0.898748577929465,0.88339222614841,0.887351778656126,0.901548672566372,0.888762769580023,0.891689373297003,0.885357548240636,0.872924648786718,0.901884700665188,0.877304147465438,0.880195599022005,0.893536121673004,0.890896921017403,0.883108108108108,0.889520202020202,0.894831730769231,0.888424821002387,0.881936245572609,0.8875,0.880022321428571,0.873913043478261,0.885050962627407,0.88716814159292,0.886970172684458,0.879427792915531,0.884097035040431,0.862068965517241,0.886363636363636,0.87910085054678,0.888133498145859,0.907982261640798,0.844072164948454,0.838056680161943,0.825581395348837,0.810754189944134,0.857913669064748,0.855450236966825
"R16-005-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928333333333333,0.9393605292172,0.92769744160178,0.910951327433628,0.858569051580699,0.928321678321678,0.908246225319396,0.923973362930078,0.941860465116279,0.907847800237812,0.922866520787746,0.893415178571429,0.872685185185185,0.876614987080103,0.893478260869565,0.865105908584169,0.871333333333333,0.878483835005574,0.862155388471178,0.890403489640131,0.873868778280543,0.881294964028777,0.889232673267327,0.875984251968504,0.876322751322751,0.877323420074349,0.867334905660377,0.884525205158265,0.883990719257541,0.885658914728682,0.885839736553238,0.86219512195122,0.893451720310766,0.885869565217391,0.86517719568567,0.887182910547397,0.88110964332893,0.860504201680672,0.87890625,0.880071599045346,0.871515151515151,0.900871459694989,0.829936305732484,0.823252688172043,0.82015503875969,0.802197802197802,0.843529411764706,0.848079161816065
