Sample	Clonal_group
R15-002	1
R15-006	1
R15-007	1
R15-008	1
R15-009	1
R15-010(1)	1
R15-010(2)	1
R16-003-03	1
R16-004-01(1)	1
R16-005-01	1
R16-006-01	1
R17-001-02	1
R17-002-01	1
R17-002-02	1
R17-002-03	1
R17-003-01	1
R17-004-01	1
R17-004-03	1
R17-005-01	1
R17-007-03	1
R17-008-02	1
R18-002-01(1)	1
R18-002-01(2)	1
R18-003-02	1
R18-003-03	1
R18-004-02	1
R18-004-03	1
R18-005-03	1
R18-006-01	1
R18-006-03	1
R18-007-02	1
R18-007-03	1
R18-008-01	1
R18-009-02(1)	1
R18-009-02(2)	1
R18-010-01	1
R18-010-02	1
R18-010-03	1
R18-013-01	1
R18-014-01	1
R18-015-01	1
R18-017-01	1
R18-018-02	1
R18-019-01	1
R18-019-02(1)	1
R18-019-02(2)	1
R18-020-01	1
R18-022-03	1
R18-023-03	1
R18-024-01	1
R18-024-02	1
R18-027-03	1
R20-002	1
R20-003	1
R20-027	1
R20-027(S)	1
R20-047	1
Stem_Canker_2	1
